$P_{O_2}$ $\mu_e$ e h $V_{O}^{\times}$ $V_{O}^{\bullet}$ $V_{O}^{\bullet\bullet}$ $O_{i}^{\times}$ $O_{i}^{'}$ $O_{i}^{''}$ $Sn_{i}^{\times}$ $Sn_{i}^{\bullet}$ $Sn_{i}^{\bullet\bullet}$ $Sn_{i}^{\bullet\bullet\bullet}$ $Sn_{i}^{\bullet\bullet\bullet\bullet}$ $V_{Sn}^{\times}$ $V_{Sn}^{'}$ $V_{Sn}^{''}$ $V_{Sn}^{'''}$ $V_{Sn}^{''''}$
3.3315e-61 1.8197 3.1998e-18 1.9282e-18 5.8229e-09 0 6.3583e-19 6.4593e-62 6.0771e-64 2.754e-64 5.8763e-58 1.4758e-46 9.8062e-35 5.3026e-30 1.2846e-30 6.3778e-123 5.8758e-104 1.3831e-87 2.3977e-74 5.8168e-65
4.8159e-62 1.8296 3.8742e-18 1.5925e-18 1.5315e-08 0 1.1408e-18 2.4559e-62 2.7975e-64 1.5349e-64 4.0651e-57 8.4324e-46 4.6276e-34 2.0668e-29 4.1354e-30 9.2195e-124 1.0284e-104 2.9309e-88 6.1515e-75 1.8069e-65
6.9617e-63 1.8422 4.9399e-18 1.249e-18 4.0281e-08 0 1.8455e-18 9.3374e-63 1.3562e-64 9.4884e-65 2.8121e-56 4.5748e-45 1.969e-33 6.8964e-29 1.0822e-29 1.3327e-124 1.8956e-105 6.8885e-89 1.8435e-75 6.9046e-66
1.0064e-63 1.8565 6.5196e-18 9.4633e-19 1.0595e-07 0 2.7867e-18 3.5501e-63 6.8054e-65 6.2838e-65 1.9453e-55 2.3979e-44 7.8197e-33 2.0753e-28 2.4675e-29 1.9266e-125 3.6164e-106 1.7345e-89 6.1263e-76 3.0283e-66
1.4547e-64 1.8719 8.7818e-18 7.0255e-19 2.7865e-07 0 4.0396e-18 1.3498e-63 3.4852e-65 4.3347e-65 1.3457e-54 1.2315e-43 2.9815e-32 5.8743e-28 5.1853e-29 2.785e-126 7.0417e-107 4.5491e-90 2.1643e-76 1.441e-66
2.1029e-65 1.8879 1.1964e-17 5.1568e-19 7.329e-07 0 5.7243e-18 5.1319e-64 1.8053e-65 3.059e-65 9.3094e-54 6.2531e-43 1.1112e-31 1.607e-27 1.0412e-28 4.0258e-127 1.3868e-107 1.2206e-90 7.9115e-77 7.1766e-67
3.0399e-66 1.9042 1.6401e-17 3.7619e-19 1.9276e-06 0 8.0122e-18 1.9512e-64 9.409e-66 2.1855e-65 6.44e-53 3.1556e-42 4.0908e-31 4.3157e-27 2.0398e-28 5.8196e-128 2.748e-108 3.3155e-91 2.9459e-77 3.6631e-67
4.3944e-67 1.9207 2.2556e-17 2.7353e-19 5.07e-06 0 1.1141e-17 7.4185e-65 4.92e-66 1.5717e-65 4.455e-52 1.5873e-41 1.4961e-30 1.1477e-26 3.9441e-28 8.4126e-129 5.4634e-109 9.0655e-92 1.1078e-77 1.8945e-67
6.3524e-68 1.9373 3.1075e-17 1.9854e-19 1.3335e-05 0 1.5438e-17 2.8206e-65 2.5771e-66 1.1342e-65 3.0818e-51 7.9699e-41 5.4528e-30 3.0361e-26 7.5735e-28 1.2161e-129 1.0881e-109 2.4874e-92 4.1876e-78 9.8662e-68
9.1827e-69 1.9539 4.2852e-17 1.4398e-19 3.5073e-05 0 2.1354e-17 1.0724e-65 1.3512e-66 8.2002e-66 2.1319e-50 3.9982e-40 1.9837e-29 8.0097e-26 1.4489e-27 1.7579e-130 2.1689e-110 6.8372e-93 1.5873e-78 5.157e-68
